,ytid,Speech,Animal,Music,Vehicle
112,nA-zi-POaPw,1,0,0,0
113,vJ1os4k9QTI,0,0,1,0
114,AfbDDepffwY,0,0,0,1
115,VXt63Gd2r0A,0,0,1,0
116,uanq_H6TJoA,1,0,0,0
117,ox-dFGpSR9M,1,0,0,0
118,gRdMkb_zrKg,0,0,1,0
119,QgNUq059mGw,0,0,1,0
120,EmoSv1FnGac,1,0,0,0
121,1ryrMMo751c,1,0,0,0
122,6OFqneaKTnM,0,0,1,0
123,Y1AlT3bi_MI,0,0,1,0
124,1LUNKb-sNfg,0,0,1,0
125,WC6Ufjh2GXs,1,0,0,0
126,FM41LVGD3Us,0,0,1,0
127,t1cJ3mtjbwM,0,0,1,0
128,Ag0htvPa748,1,0,0,0
129,MAOzPE_Q2yc,0,0,1,0
130,x5A3wUHdUig,1,0,0,0
131,E5ScoaFtA98,1,0,0,0
132,-NaSVZnoW68,1,0,0,0
133,Gkty6st10d0,1,0,0,0
134,eo0cA_oX4V8,0,0,0,1
135,AqBdRAWnpmg,1,0,0,0
136,rX7YSVXi9_s,0,0,1,0
137,-V5rJGB_nEo,0,0,0,1
138,4ZVcWLsU3As,1,0,0,0
139,gILf2kYLrlI,1,0,0,0
140,Ecn9d-TEmtw,0,0,1,0
141,AhC4BVp87Fs,0,0,0,1
142,np93Xq-hHDo,1,0,0,0
143,aknhlRF_23E,1,0,0,0
144,blC-CduxeU0,0,0,1,0
145,Ei15tCK-caE,0,0,1,0
146,gVXFAPj7Hhg,1,0,0,0
147,EFcchb7X_yc,0,0,1,0
148,aU83ZoXuyvY,1,0,0,0
149,yBoCTQRjTnk,0,0,1,0
150,m22vzqezeuQ,0,0,1,0
151,RX3y0ulA68g,0,0,1,0
152,-u-gQOqPBh4,0,0,1,0
153,StGjmgIpqPQ,0,0,1,0
154,E0yKlvcA2Q4,0,0,1,0
155,WELC2CAWftM,1,0,0,0
156,hmktRLh9gXo,0,0,1,0
157,o97VHDOjLD0,0,0,1,0
158,jusAzboC8SI,0,0,1,0
159,bq43_FYNzg0,1,0,0,0
160,uyqeZZMp62s,0,0,0,1
161,QBpgrcRUqNo,0,0,1,0
162,z6aaIR3b8Ko,1,0,0,0
163,n-Y4Ha4e7j4,1,0,0,0
164,28gzlPREH30,0,0,1,0
165,wwtASYQNh9Q,0,0,0,1
166,oZWMW0-gNVk,0,0,1,0
167,Cu2BXU8g8ns,1,0,0,0
168,UCkZ2R_KPDs,1,0,0,0
169,SdhzkLjGV8k,0,0,1,0
170,x7Tcwv4uW6A,0,0,1,0
171,vfvcnBYbw9c,0,0,1,0
172,OzuNIRMSPwQ,0,0,1,0
173,QqXHgYzAuGU,0,0,1,0
174,1cJDr0b0XUY,1,0,0,0
175,RUCZP8voKZ4,0,0,1,0
176,YeT3YfrInQE,0,0,1,0
177,ku-hFGtWAX0,0,0,1,0
178,ChhAb5wI0bI,0,0,1,0
179,sbgKC1rHAs4,0,0,1,0
180,OdEJT1Otm7c,0,0,0,1
181,rH6XMyBaWq8,0,0,1,0
182,2p-bMb4hmjY,0,0,1,0
183,ccdKyHuWfyA,1,0,0,0
184,DvALcM0uli8,0,0,1,0
185,63Km9E2g9n4,0,0,1,0
186,LnCzhfuX3xw,0,0,1,0
187,LBrz7RwmHAA,0,0,1,0
188,5w1IoUfEK10,0,0,1,0
189,XA34c1iDfJg,0,0,1,0
190,OG-WFd6dCZU,1,0,0,0
191,wgi-0b7HLCs,0,0,1,1
192,E1JsFAMh1Go,1,0,0,0
193,zG0TuyJk5Es,0,0,1,0
194,ReMh_RcVrFs,0,0,1,0
195,ZaPGy8_CN0k,0,0,0,1
196,XNGItvTDFGM,0,0,1,0
197,OsLx_h7BZfE,1,0,0,0
198,6N4p0SRLiPY,1,0,0,0
199,DsylMHr1qCo,0,0,1,0
200,qaIIOxwWp6A,1,0,0,0
201,6KyHeH-S6N0,1,0,0,0
202,epBVOeclsC0,1,0,0,0
203,XZGwHoQnUJI,0,0,1,0
204,F-9r_u51uO0,0,0,1,0
205,c5333DNL8WI,0,0,1,0
206,8kfH1dJYuOM,0,0,1,1
207,7hW06WLrfhQ,0,0,1,0
208,pDqTM9Vvs_g,0,0,1,0
209,jMxwoTqSlVg,0,0,1,0
210,-KDbQO0-88w,0,0,1,0
211,wmQBydXjz0E,0,1,0,0
212,m31faKFcMRk,0,0,1,1
213,FQ2eytHju2I,0,0,1,0
214,PRXK6IhEywM,0,0,1,0
215,j340ePnAOI4,0,0,1,0
216,hhsLOeZrRwc,0,0,1,0
217,89EkX-chQPg,1,0,0,0
218,tLh7-xApmpI,0,0,1,0
219,3brB_VLB0cE,0,0,1,0
220,0-xUws8pTCs,0,0,1,0
221,dQfCzoO5Pv8,0,0,1,0
222,g60gPfeYVFQ,0,0,1,0
223,EXUVEbTCPHI,1,0,0,0
224,CqeSAZZ3k-I,0,0,1,0
225,rcdPfxCmEE4,0,0,0,1
226,Ji4Zg-fAqI4,0,0,1,0
227,DfekrIlRl9M,0,0,1,0
228,BpmnMC1Ad3c,1,0,0,0
229,f9XgSCVNaEs,1,0,0,0
230,jpqhPB2G-AQ,0,0,0,1
231,PzImajFKEm0,1,0,0,0
232,gOCW4QCIGKY,0,0,1,0
233,qfot7Azl79s,0,0,1,0
234,oYi2U14l9RQ,0,0,1,0
235,NCdZGJVsRBU,1,0,0,0
236,twlEFz4_HkI,0,0,1,0
237,VdLo4JuDSdU,0,0,1,0
238,O7adNQjXw2M,0,0,1,0
239,xEWJWyo0id4,1,0,0,0
240,Vb41vH3zL9o,0,0,1,0
241,KgXwESVYM9o,0,0,0,1
242,upFPsyLnSgo,0,0,1,0
243,0FqeOyzgHQs,1,0,0,0
244,gmTBEIyxVZM,0,0,1,0
245,Zse00SqIZr8,1,0,0,0
246,XMzbFMFFe0A,0,0,1,0
247,-x70_ord3UQ,0,0,1,0
248,V3Pd-lTlw04,0,0,1,0
249,fvnisftCDrw,1,0,0,0
250,iR0CAwNTh4M,1,0,0,0
251,7j5wCncdkNA,0,0,1,0
252,PIRcFkQS44A,0,0,1,0
253,KqExzWpI7go,1,0,0,0
254,BWLcTEggztg,1,0,0,0
255,omtmEu1j3E0,0,0,1,0
256,ThEMkXrPnl4,0,0,1,0
257,nHbYb-pkvOo,1,0,0,0
258,0qPdVkbztiE,0,0,1,0
259,wMOoc-degyQ,1,0,0,0
260,X9776ynyFM8,0,0,1,0
261,dqjK8cOMQlg,1,0,0,0
262,lOHRKbhhGhI,0,0,1,0
263,MfVsQNVf6Cs,0,0,1,0
264,otLsSpCumO8,1,0,0,0
265,NHkqMI0R27s,0,0,1,0
266,NF978Bcs7vQ,0,0,1,0
267,3E9YuFSEfqM,0,0,1,0
268,XvkfMu76drE,1,0,0,0
269,8LJdYWVdwQk,0,0,1,0
270,Zq63pRepqQI,0,0,1,0
271,JlJSAitUUJo,0,0,1,0
272,vwQIojJ35TA,1,0,0,0
273,g_ENSnlfecc,1,0,0,0
274,cddvD94wvuI,0,1,0,0
275,wxWrCdXWOFM,1,0,0,0
276,dIh260jyyiY,1,0,0,0
277,mVBOy8rAKsw,0,0,0,1
278,aK_rQaLfLJ8,0,0,1,0
279,R_Dp10ftClM,1,0,0,0
280,0dEz2G0Rs_Q,1,0,0,0
281,3B2wc7IP1xc,0,0,1,0
282,lqKC8pA0FRs,0,0,0,1
283,X8RhVnCPGa8,1,0,0,0
284,PD8q_Yn4ek8,0,0,1,0
285,FGUBOJIl6sI,1,0,0,0
286,T8IuoVsBLwg,1,0,0,0
287,df7qw5X6LHo,0,0,1,0
288,arB8wd6feQw,1,0,0,0
289,6iKErkAq5IY,0,0,0,1
290,h3O5IoRbkIA,0,0,1,0
291,NvsqHGMN4YE,0,0,1,0
292,AMGVoJJfWL4,0,0,1,0
293,GdXozAsJ-xg,0,0,1,0
294,0jR1LloiOHk,0,0,1,0
295,gMIaDDK7Hak,0,0,1,0
296,XCc1gL5hQm8,0,0,1,0
297,GEBPMtuCuVQ,0,0,1,0
298,PW7N1rmf84k,0,0,1,0
299,EsXZQTBeHQg,0,0,1,0
300,f5T5_pgOPyY,0,0,1,0
301,MakpfJreSYw,0,0,1,0
302,26eHYdPUbkU,0,0,1,0
303,07yrBt1SrDU,0,0,1,0
304,RmhqFPR8Wgc,0,0,1,0
305,PsMgMsbci-Q,1,0,0,0
306,7uJ2U_3eHpI,1,0,0,0
307,qG6G3wAKylA,0,0,0,1
308,C_CC_BHWC4o,1,0,0,0
309,5s4gi2-d0nA,0,0,1,0
310,e6XJG9Wx9FQ,0,0,1,0
311,GG3T-GcXdjM,1,0,0,0
312,H4ENAgK7Dew,0,0,1,0
313,vRiZ-b5IR38,1,0,0,0
314,5ZosZSHd5bM,0,0,1,0
315,EbVYh9Zxi-4,1,0,0,0
316,KUIm3VZJHG4,1,0,0,0
317,0V5e40vclaY,0,0,1,0
318,bzXQrIPD2Iw,0,1,0,0
319,hQzBjuWOAzI,0,0,1,0
320,a5EQCdELV-g,0,0,1,0
321,Rs-N1jWmC30,0,0,1,0
322,9LGHyJhS17M,0,0,1,0
323,A1YvhYYRSps,0,0,1,0
324,h6tUmCuao60,0,0,1,0
325,7o9MMtWvBLU,0,0,1,0
326,m4EjetohpOI,0,0,1,0
327,lNFsd1yABVo,0,0,1,0
328,E97ZKYLd1pg,1,0,0,0
329,6tr0w7hjUnI,1,0,0,0
330,TVtsbtwPc1M,0,0,1,0
331,73q8UZ3VuBA,0,0,1,0
332,OXgEHP3CkTk,1,0,0,0
333,Oik1vL10TgQ,0,0,1,0
334,X43K__0f6gA,0,0,1,0
335,6Ss81O82Vck,1,0,0,0
336,7kJ6ohlDmN8,0,0,1,0
337,UViicsnMnTY,0,0,1,0
338,HOkVxRDmNEE,1,0,0,0
339,tN2-t7R5Htk,0,0,1,0
340,JSIQAQtpRtk,0,0,1,0
341,L0LJhjbVNQI,0,0,1,0
342,RP0FYadasg4,1,0,0,0
343,0HNaNGpiwSs,0,0,1,0
344,6silvQHF84U,0,0,0,1
345,7v6zRGUV3p8,1,0,0,0
346,vz6G5HMgQ1g,1,0,0,0
347,48Fcu3B9N1M,0,0,1,0
348,lrBEhKCxckw,0,0,1,0
349,bBt0-_OzD0I,1,0,0,0
350,-JR2ri9C1GE,0,0,1,0
351,HeHP-5_cP00,0,0,1,0
352,zjVAPgrAIt4,0,0,1,0
353,78vEi3PXR8A,1,0,0,0
354,0pP8oQhs4Sk,0,1,0,0
355,2RcODDQbm-Y,0,0,1,0
356,GfAn3OYGpEg,1,0,0,0
357,Cff4AjYjovw,0,0,1,0
358,kwhPD3OYOBI,0,0,1,0
359,5IGMSiclmgU,1,0,0,0
360,LZNLLOJbOeg,1,0,0,0
361,0U1_i_E6orA,0,0,1,0
362,5PY6XHBPQ9M,0,1,0,0
363,InaUyC9oHF8,0,0,1,0
364,0PEw0ECR6h8,0,0,1,0
365,xrXW28CnVRg,1,0,0,0
366,wDgrnlV9-Uc,1,0,0,0
367,uPVBAcRQpTI,1,0,0,0
368,B3_vrkiY_xo,0,0,1,0
369,Ny9KC2zRuuU,0,0,0,1
370,rWZOJAYlKGo,1,0,0,0
371,SRPj4giPKs4,1,0,0,0
372,9U5Ul_Muw88,0,0,1,0
373,RCxxrlUassw,0,0,1,0
374,eIiVpouGUuY,0,0,1,0
375,06bR1kYNSgw,1,0,0,0
376,VW4rPv5DmA4,1,0,0,0
377,JVbHwwdvgGE,0,0,1,0
378,r5UL5WxLA9I,0,0,1,0
379,Hy0PZ72OtSo,1,0,0,0
380,FdJtJXobSBY,1,0,0,0
381,h-R7gw5kfQo,1,0,0,0
382,GuHLJlLyep4,0,0,1,0
383,MsmF7O5cfGU,0,0,1,0
384,VyV6E-svIo8,0,0,1,0
385,kauZ8RltGHU,0,1,0,0
386,Klo9vyFVImc,1,0,0,0
387,MbygMz_jOp8,1,0,0,0
388,T7X4Hdswdpo,0,0,0,1
389,u4W0rEr3Zio,1,0,0,0
390,Um7H3GscLng,0,0,0,1
391,3S2TKG94V_U,0,0,1,0
392,Cb4zJ_1EkIk,0,0,1,0
393,JWW5lbYB1ow,0,0,1,0
394,Wk6h3sXn6CI,1,0,0,0
395,UFxShLIAquM,0,0,1,0
396,d0KvCo8IusY,0,0,1,0
397,mhGqzPk_dDk,0,0,1,0
398,RQ30JacQ0A8,1,0,0,0
399,uGzeUufNWdg,1,0,0,0
400,ORfORrPI27o,1,0,0,0
401,r9Uzgb8h80U,0,0,1,0
402,QU7MKF4AN6k,1,0,0,0
403,HQ8eqFR52Os,0,0,1,0
404,wZkD7kdWipU,0,0,0,1
405,KuT4S3Z7PBg,0,0,1,0
406,K5FFyLCxUSI,0,0,1,0
407,mjHmTu55UjE,0,0,1,0
408,ASo11Yx6yEc,0,0,1,0
409,CoeTyfodKVQ,0,0,1,0
410,-HI8A4u0R-U,0,0,1,0
411,gt8rnTR9J2I,1,0,0,0
412,nlQ6qtxM8ZU,0,0,1,0
413,cVsBZlsQXOo,0,0,1,0
414,MEMBUrczQGs,0,0,1,0
415,A9E9uHygsP8,1,0,0,0
416,p5FrLYay-xs,0,0,1,0
417,ky0fBcFNr4Y,1,0,0,0
418,n8sO0K35rFw,0,0,1,0
419,bPU8Zw4ANDE,0,0,1,0
420,94UqMG6h4p0,0,0,1,0
421,U2DRvcbM9Qc,1,0,0,0
422,AQ4IqpVLus0,0,0,1,0
423,DVak7mZhUfQ,0,0,1,0
424,8sNh0_-feKA,1,0,0,0
425,EOD2t_kaNCQ,0,0,1,0
426,HV3wY62t26s,1,0,0,0
427,3emGexZfAJQ,1,0,0,0
428,bJiLI3JRdZ4,0,0,1,0
429,zFP9sTXsUMo,1,0,0,0
430,MYsAK0f9RqI,1,0,0,0
431,cJy-o4WYI1c,0,0,1,0
432,8XClzR40dcA,0,0,1,0
433,bOhwN_sgRv8,1,0,0,0
434,3s1c_1-JyQU,0,0,1,0
435,r7tUrOe8Mfw,1,0,0,0
436,RzIEDvwvBhI,0,0,1,0
437,FiQjtcoTqLA,1,0,0,0
438,7YqnRZ_jJ3c,1,0,0,0
439,pcJBxwgo1Xo,1,0,0,0
440,0lLT4LoK0vY,0,0,1,0
441,hJgX3ReACJg,0,0,1,0
442,Le_EjUVU7nI,0,1,0,0
443,Iv8_snSwRWc,0,0,0,1
444,AvJwRMJvuGE,0,0,1,0
445,qXiXewS5HnM,1,0,0,0
446,9Z9zIGQ4RN8,0,0,1,0
447,0D4Zh7MN0-w,0,0,1,0
448,_bu5ZoErlcw,1,0,0,0
449,Y8PoHTpyOjY,1,0,0,0
450,n5vXgEGWaM0,0,0,1,0
451,ERzgM7nAaTQ,1,0,0,0
452,FfEg7uL2SVM,1,0,0,0
453,ZHc67oBPicc,0,0,1,0
454,qKxNIGK2c_U,0,1,0,0
455,-nMU0JddZeE,0,0,1,0
456,fcxykgrVXko,0,0,1,0
457,gnAPDyWTWZg,0,0,1,0
458,4Q43LUuXtpc,1,0,0,0
459,_KIkBK54COQ,0,0,1,0
460,plSVV-2ZvWU,0,0,1,0
461,Mm4i13VlwqM,0,0,1,0
462,-Wo1l738kp0,1,0,0,0
463,Shea78c1IRc,0,0,1,0
464,2jEHxvzfBB0,0,0,1,0
465,kQ_HkM5j5XQ,0,0,1,0
466,saRYN9NTDP4,1,0,0,0
467,bu8nEukYN_U,1,0,0,0
468,UnqrX5Hxr6Y,0,0,0,1
469,Ti9ioAihBm4,0,0,1,0
470,kYdm2mX9Uy4,0,0,0,1
471,qTM7ndmaoOI,1,0,0,0
472,Qm6wrSexelc,1,0,0,0
473,hf_ng-4T4Yw,0,0,1,0
474,CxWlxxjlOCo,0,0,1,0
475,zKfKLfiN5Gw,0,0,1,0
476,FOl_LG6Woto,0,0,1,0
477,FyRp7T1zKgg,1,0,0,0
478,C4YkPPZfZDs,1,0,0,0
479,Y6KWJHnykaA,0,0,1,0
480,1I8aiZYbtLg,0,0,1,0
481,nQ2f5W26R5E,0,0,1,0
482,NhGcce2_HEM,1,0,0,0
483,e1VzePolzQU,0,0,1,0
484,ZETulFsd6NY,1,0,0,0
485,01PkphvIvVQ,0,0,1,0
486,JsZcYcd6Pn8,1,0,0,0
487,-A994bAWMA4,0,0,1,0
488,kV3vY7wEIIs,0,0,1,0
489,L61t5844Dwg,0,0,1,0
490,ciZmXRpZhjE,1,0,0,0
491,WAAcrIzzpz8,0,0,1,0
492,V8DJVc5vZb4,0,0,1,0
493,Q3X9XWvIGPU,0,0,1,0
494,FXIZgQLU2sI,0,0,1,0
495,ZIvEGfx3ZA0,1,0,0,0
496,zJIQ42auV9s,0,0,1,0
497,4ByU03NJQ7c,0,0,1,0
498,d9wAJ28lwWQ,0,0,1,0
499,b71nwXDHHo8,0,0,1,0
500,AziDN0Ga_Qk,1,0,0,0
501,LiUNOsKskq4,0,0,1,0
502,MUglH8zHbHo,1,0,0,0
503,Xf4FEJ60W3Q,0,0,1,0
504,4Mn0zeQtrts,0,0,1,0
505,XPLw0Ny5vhY,1,0,0,0
506,q71WosyqsJs,1,0,0,0
507,BDDGnlACEqM,1,0,0,0
508,3Gkvc9BOBrs,0,0,1,0
509,YrEJBA-iEGk,0,1,0,0
510,TaavkQ69JTQ,0,0,1,0
511,f2GpVJ8iZKE,0,1,0,0
512,tyOp2CkpV7Y,1,0,0,0
513,7skTJ3bp6QY,1,0,0,0
514,jqq_qHnnI2o,0,0,1,0
515,YiNpr-n-wWc,1,0,0,0
516,k9UpB8PwLpw,0,0,1,0
517,wHIBzt92he0,0,0,1,0
518,e5aWzroS0yo,1,0,0,0
519,ucZxA7gQD7g,1,0,0,0
520,J-a7c5OX3Tc,0,0,1,0
521,3uNyy61AEMk,1,0,0,0
522,tK11hTUNgDk,1,0,0,0
523,EvGpBu6pA9c,0,0,1,0
524,PVfdtUjiMts,1,0,0,0
525,brblzrfXe2U,0,0,1,0
526,wj3d9Pj9q7w,0,0,1,0
527,-UjmFUrJBfg,0,0,1,0
528,2WoJpP0gDj8,1,0,0,0
529,tJ5rEbRsT14,0,0,1,0
530,xLjpXq27tS4,1,0,0,0
531,8R1tJI5C7_4,0,0,1,0
532,bx5zD3SU9jg,0,0,1,0
533,6uygGxAHnNc,0,0,0,1
534,10W2pwyb_cg,1,0,0,0
535,yU9vjKW88LI,0,0,1,0
536,4AKz9Mc91Ac,1,0,0,0
537,oHdQG3p83ng,0,0,1,0
538,0Q4dvc6ZjZs,0,0,0,1
539,c6e0NhuR0PY,0,0,1,0
540,cFDFhITlAoA,0,0,1,0
541,QklNjrXPICE,0,0,1,0
542,V0t966xVkoI,0,0,0,1
543,HL-eO-5HZT0,0,0,1,0
544,zRtlxr4Hdkg,1,0,0,0
545,l3ycQF9SUKQ,1,0,0,0
546,12wlB-D-9Tk,0,0,1,0
547,aAFIa2Il5J8,0,0,1,0
548,WWAVYvxOvnw,0,0,1,0
549,HNlgRR-wbtQ,0,0,1,0
550,Gh_V1F1XD9U,0,0,1,0
551,jLJ-pthEKdc,0,0,1,0
552,WqhjVPtv2n4,0,0,1,0
553,BuYCxd-QFJQ,1,0,0,0
554,76-DJdHqTEI,0,0,1,0
555,rV9TbhNkjA4,0,0,1,0
556,bcrDQa-4X9I,1,0,0,0
557,H1wmNI1y-iY,0,0,1,0
558,T_8iGOGfZGE,0,0,1,0
559,T-O3hvIKdcs,1,0,0,0
560,41urNf1llcI,1,0,0,0
561,u6Mz7RWvckk,0,0,1,0
562,UAMnGwcJRgE,0,0,1,0
563,mK-RdM1rGtU,0,0,1,0
564,5Ssw1BMI418,0,0,1,0
565,bjLX_0zOZb8,1,0,0,0
566,iBCBETgawkc,0,0,0,1
567,rFBrMwLZfyU,0,1,1,0
568,3IDU_XOc5EY,1,0,0,0
569,qllmQ3UdJws,1,0,0,0
570,CssP3DLNbnQ,0,0,0,1
571,o8mXSQ_R0T0,1,0,0,0
572,9NMwsBM8wSg,0,0,1,0
573,Z510yIk6Efs,0,0,1,0
574,pRDVq87oy7A,0,0,1,0
575,iqooffbClC8,1,0,0,0
576,z0-1z8IfPCg,0,0,1,0
577,BftdomcFLGI,0,0,1,0
578,sYHcsRsGOio,1,0,0,0
579,P7KycvRysuc,0,0,1,0
580,k1kPRZoXg-E,0,0,1,0
581,xvnZzckdWbE,1,0,0,0
582,1410j7pjDT8,0,0,1,0
583,6dGcEz23LZo,1,0,0,0
584,UhsAEOQlyA8,0,0,1,0
585,ylpOO-7cyt0,0,0,1,0
586,E7X91gEFF7Q,1,0,0,0
587,-2srFddiiC4,0,0,1,0
588,9GvNsuYVwlM,0,0,0,1
589,MjIMpVXQtxM,1,0,0,0
590,T4-AH0CYumU,1,0,0,0
591,FND9QSpq_ao,1,0,0,0
592,Aa7sOmSTJAw,0,0,1,0
593,aiK-jM_U4Ik,0,0,0,1
594,4Rd6kCHVTlE,0,0,1,0
595,7AkF-kmAU1U,1,0,0,0
596,2-SeGgMBe3o,0,0,1,0
597,DX_gcTSjv1E,0,1,0,0
598,NWbIwSr3NmE,0,0,1,0
599,fOmGF5SSoVA,0,0,1,0
600,s8k_JRTCCB0,0,0,1,0
601,qPHURWyiNzg,0,0,1,0
602,flwHrtv1YbQ,0,0,1,0
603,0y2kzuYyvPc,1,0,0,0
604,DuQMPPhWtzk,1,0,0,0
605,bsmbHcG4GiA,1,0,0,0
606,1qJVxN4TLjY,1,0,0,0
607,xtPvw4U_AUs,0,0,1,0
608,uLDaEZcCS3c,1,0,0,0
609,yP0CWl4PAh0,1,0,0,0
610,SQkfHmU8kSc,0,0,1,0
611,z93-mGVt3NI,0,0,1,0
612,Nn4bCTPatbc,0,0,1,0
613,61wRW7upRks,1,0,0,0
614,YXHO_A4ClOU,0,0,1,0
615,QRKIqq4hr20,0,0,1,0
616,4TYZgZuSAyE,0,0,1,0
617,aRnMFqXsSgE,0,0,1,0
618,B9E0QAStpw4,1,0,0,0
619,8-4r032pPK0,0,0,1,0
620,Zr7vhSJqW1A,0,0,1,0
621,koBpf7BYUDE,0,0,1,0
622,GFFUoilh1ME,1,0,0,0
623,Fumq5As1riU,0,0,1,0
624,hDo_kny7czM,1,0,0,0
625,EBwgqqowBG8,0,0,1,0
626,-47OMrNfA0A,0,0,0,1
627,qOx-ALQN1_I,0,0,1,0
628,pKJ0YXPTzss,1,0,0,0
629,eZW6lZxMVho,1,0,0,0
630,PcYfamUnzsM,1,0,0,0
631,INzwAFBc2L8,1,0,0,0
632,shbwoN1gOHU,0,0,1,0
633,hq3keWNnN4I,0,0,1,0
634,kTiramcFvpc,0,0,0,1
635,394hJ9PMFqE,0,0,1,0
636,8hiZRU_elHw,0,0,1,0
637,DdGdQR-3lCY,0,0,0,1
638,JhHfOg_JFqM,0,0,1,0
639,2HtvKGm_H1I,1,0,0,0
640,N_fNHP9nhFU,0,0,1,0
641,tC3BMzif0JQ,1,0,0,0
642,EkZSFn-7QXs,1,0,0,0
643,JTbhwGxY1SA,0,0,1,0
